location,lon,lat
"Екатеринбург, Свердловская область",60.6057,56.8389
"Самара, Самарская область",50.2212,53.2415
"Ростов-на-Дону, Ростовская область",39.7015,47.2357
"Набережные Челны, Татарстан",52.3721,55.7185
"Волгоград, Волгоградская область",44.5133,48.708
"Чистополь, Татарстан",50.6405,55.3635
"Нижний Новгород, Нижегородская область",43.9361,56.2965
"Пермь, Пермский край",56.2668,58.0297
"Оренбург, Оренбургская область",55.1005,51.7666
"Ханты-Мансийск, Ханты-Мансийский АО",69.0375,61.0091
"Заводоуковск, Тюменская область",66.5488,56.4983
"Туймазы, Башкортостан",53.6922,54.5985
"Казань, Татарстан",49.0661,55.8304
"Краснодар, Краснодарский край",38.9872,45.0393
"Новосибирск, Новосибирская область",82.9357,55.0084
"Москаленки, Омская область",71.9437,54.9389
"Белгород, Белгородская область",36.5983,50.5997
"Бердск, Новосибирская область",83.08,54.7751
"Магнитогорск, Челябинская область",59.0016,53.4129
"Воронеж, Воронежская область",39.2089,51.6755
"Тольятти, Самарская область",49.4198,53.5086
"Новокузнецк, Кемеровская область",87.1216,53.7596
"Саратов, Саратовская область",45.9608,51.5924
"Аксай, Ростовская область",39.8706,47.2651
"Армавир, Краснодарский край",41.1111,44.9874
"Владимир, Владимирская область",40.4179,56.1446
"Гвардейск, Калининградская область",21.067,54.6521
"Челябинск, Челябинская область",61.4368,55.1644
"Пойковский, Ханты-Мансийский АО",71.9004,60.9936
"Красноярск, Красноярский край",92.8932,56.0153
"Сочи, Краснодарский край",39.7342,43.6028
"Шахты, Ростовская область",40.2355,47.7236
"Стерлитамак, Башкортостан",55.9439,53.6554
"Ярославль, Ярославская область",39.8845,57.6261
"Ростов, Ярославская область",39.4132,57.1956
"Зеленодольск, Татарстан",48.5372,55.8516
"Калининград, Калининградская область",20.4522,54.7104
"Нижневартовск, Ханты-Мансийский АО",76.5434,60.9431
"Нижнекамск, Татарстан",51.847,55.6132
"Муром, Владимирская область",42.0166,55.5674
"Тюмень, Тюменская область",65.525,57.1613
"Канск, Красноярский край",95.7198,56.2168
